datum,niveau,schepcorner_id,ploegnaam,ervaring_schepper,ervaring_kopper,ervaring_duo,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,positie,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,klassement_thuis,klassement_uit,uitslag_thuis,uitslag_uit,score_voor_thuis,score_voor_uit,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,score_verschil_voor,periode,schepcorner_nummer,goal_lag_ploeg,goal_lag_wedstrijd
2025-03-15,kern_laag,1,marathon,4.0,4.0,4.0,1,1,1,0,1,5,0,0,0,1,1,5,4,1,0,0,1.0,4,0,1,0,4,1,0.0,0.6616915422885572
2025-03-15,kern_laag,2,marathon,4.0,4.0,4.0,1,2,0,0,1,5,0,0,0,0,1,5,4,1,2,0,1.0,4,0,1,2,4,2,1.0,1.0
2025-03-15,kern_laag,3,poba juniors,3.0,2.0,3.0,0,3,0,0,0,2,0,0,1,0,1,5,4,1,2,0,5.0,4,0,0,2,4,3,0.0,0.0
2024-09-03,kern_laag,4,mvc rudie,4.0,5.0,4.0,1,3,1,0,1,5,0,1,1,0,8,3,11,2,4,1,8.0,5,0,0,3,1,1,1.0,0.6616915422885572
2024-09-03,kern_laag,5,uncle abes patty pounders,1.0,5.0,1.0,0,3,1,0,1,5,0,0,0,0,8,3,11,2,5,2,3.0,5,0,1,3,1,2,0.6616915422885572,0.0
2024-09-03,kern_laag,6,uncle abes patty pounders,1.0,5.0,1.0,0,4,0,0,1,5,0,0,0,0,8,3,11,2,11,2,3.0,5,0,1,9,1,3,0.0,0.0
2024-09-03,kern_laag,7,de balzakskes,3.0,3.0,3.0,1,2,0,0,1,2,1,1,1,0,3,10,4,6,2,3,3.0,7,0,1,1,1,1,0.6616915422885572,0.6616915422885572
2024-09-03,kern_laag,8,fc spitbulls,1.0,3.0,2.0,0,2,0,0,1,2,0,1,1,1,3,10,4,6,2,3,10.0,7,0,0,1,1,2,0.0,0.0
2024-09-03,kern_laag,9,de balzakskes,3.0,3.0,3.0,1,3,0,0,1,2,0,0,0,1,3,10,4,6,3,4,3.0,7,0,1,1,1,3,0.0,1.0
2024-09-03,kern_laag,10,fc spitbulls,1.0,3.0,2.0,0,4,1,0,1,2,0,0,0,1,3,10,4,6,4,5,10.0,7,0,0,1,1,4,1.0,1.0
2024-09-03,kern_laag,11,titans,3.0,3.0,3.0,1,3,0,1,1,6,0,1,1,0,4,9,5,3,4,3,4.0,5,0,0,1,1,1,0.6616915422885572,0.6616915422885572
2024-09-03,kern_laag,12,mvc de hoeve,4.0,5.0,4.0,0,3,1,0,1,3,0,0,0,0,,,7,2,3,2,,,0,0,1,1,1,0.0,0.6616915422885572
2024-09-03,kern_laag,13,mvc uuflakke,4.0,4.0,4.0,1,4,0,0,1,2,0,0,0,1,,,7,2,4,2,,,0,0,2,1,2,0.6616915422885572,0.0
2024-09-02,kern_laag,14,cercle sportif gent,5.0,3.0,3.0,1,2,0,0,1,5,0,0,0,1,,,7,8,2,1,,,0,0,1,1,1,0.6616915422885572,0.6616915422885572
2024-09-02,kern_laag,15,cercle sportif gent,5.0,3.0,3.0,1,3,0,0,1,5,0,0,0,1,,,7,8,4,5,,,0,0,1,1,2,1.0,1.0
2024-09-02,kern_laag,16,lazio roma,5.0,2.0,2.0,0,4,0,0,1,4,0,0,0,1,,,7,8,6,6,,,0,0,0,1,3,0.6616915422885572,1.0
2024-09-02,kern_laag,17,de schuimforellen,1.0,1.0,1.0,1,3,0,0,0,5,1,0,0,0,,,2,6,1,2,,,0,0,1,1,1,0.0,0.6616915422885572
2024-09-02,kern_laag,18,mvc rudie,4.0,5.0,4.0,0,3,0,0,1,2,0,0,0,1,,,2,6,1,3,,,0,0,2,1,2,0.6616915422885572,0.0
2024-09-02,kern_laag,19,mbapparte fc,3.7572254335260116,3.7167630057803467,3.485549132947977,0,1,0,0,0,5,0,0,0,1,,,2,15,1,2,,,0,0,1,1,1,0.6616915422885572,0.6616915422885572
2024-09-02,kern_laag,20,sweco fc,3.7572254335260116,3.7167630057803467,3.485549132947977,1,2,0,0,0,2,0,0,0,1,,,2,15,1,3,,,0,0,2,1,2,0.6616915422885572,1.0
2024-09-02,kern_laag,21,mbapparte fc,3.7572254335260116,3.7167630057803467,3.485549132947977,0,3,0,0,0,2,1,1,0,0,,,2,15,2,6,,,0,0,4,1,3,1.0,1.0
2024-09-02,kern_hoog,22,citadel park rangers,4.269230769230769,4.230769230769231,3.8846153846153846,1,2,0,0,1,2,0,0,0,1,8,15,4,5,0,2,8.0,7,0,0,2,1,1,0.6616915422885572,0.6616915422885572
2024-09-02,kern_hoog,23,citadel park rangers,4.269230769230769,4.230769230769231,3.8846153846153846,1,3,0,0,1,2,0,0,0,1,8,15,4,5,1,2,8.0,7,0,0,1,1,2,1.0,1.0
2024-09-02,kern_hoog,24,expats gent fc,4.269230769230769,4.230769230769231,3.8846153846153846,0,4,0,0,1,2,0,0,0,0,8,15,4,5,4,4,15.0,7,1,0,0,1,3,0.0,1.0
2025-03-06,kern_laag,25,marathon,5.0,2.0,3.0,0,2,1,0,1,4,0,0,0,0,3,2,1,13,0,2,2.0,1,0,1,2,4,1,1.0,0.6616915422885572
2025-03-06,kern_laag,26,marathon,5.0,2.0,3.0,0,4,0,0,1,5,0,1,0,0,3,2,1,13,1,12,2.0,1,0,1,11,4,2,0.0,0.0
2025-02-24,kern_laag,27,marathon,1.0,5.0,1.0,0,1,0,0,1,5,0,0,0,1,1,10,4,6,0,0,10.0,9,0,0,0,4,1,0.0,0.6616915422885572
2025-02-24,kern_laag,28,surfing elephant,5.0,5.0,5.0,1,3,0,0,1,5,0,0,0,1,1,10,4,6,2,3,1.0,9,0,1,1,4,2,1.0,1.0
2025-02-24,kern_laag,29,marathon,1.0,5.0,1.0,0,3,0,0,1,5,0,0,0,1,1,10,4,6,3,3,10.0,9,0,0,0,4,3,1.0,1.0
2025-02-21,kern_laag,30,marathon,5.0,5.0,5.0,1,2,0,0,1,5,0,0,0,1,,,5,6,1,1,,,0,0,0,4,1,1.0,0.6616915422885572
2025-02-21,kern_laag,31,fc swakkes,3.7572254335260116,3.7167630057803467,3.485549132947977,0,3,1,0,0,5,0,0,0,1,,,5,6,3,3,,,0,0,0,4,2,0.6616915422885572,1.0
2025-02-21,kern_laag,32,marathon,5.0,5.0,5.0,1,4,1,0,1,5,0,1,1,0,,,5,6,3,4,,,0,0,1,4,3,1.0,1.0
2025-02-21,kern_laag,33,fc swakkes,3.7572254335260116,3.7167630057803467,3.485549132947977,0,4,0,0,0,5,0,0,0,1,,,5,6,3,4,,,0,0,1,4,4,1.0,0.0
2024-09-05,kern_laag,34,celtic towers,4.0,5.0,1.0,0,3,0,1,1,5,0,0,1,0,8,3,5,3,3,2,3.0,5,0,1,1,1,1,1.0,0.6616915422885572
