niveau,is_thuisploeg,kwart,is_schepper_bank,is_kopper_bank,schepper_pos_rechts,kop_verplaatsen_achter,kop_veel_verplaatsen,kop_hor_verplaatsen,goal,score_verschil_voor,wedstrijd_corner_nr,ploeg_wedstrijd_corner_nr,positie_verticaal_voor,positie_horizontaal,ploeg_scoreperc,goal_lag_ploeg,goal_lag_wedstrijd,klassement,klassement_veschil,is_degradatieplaats,is_promotieplaats,algemene_ervaring
kern_laag,0,1,0,0,1,0,0,0,1,-1,1,1,0,rechts,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,2.3333333333333335
kern_laag,0,1,0,0,1,0,0,0,1,3,2,2,0,rechts,1.0,1.0,1.0,7.5,5,0,0,2.3333333333333335
kern_laag,1,2,0,1,1,0,1,1,0,-1,1,1,0,rechts,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,0,3,0,0,0,0,1,1,0,-2,2,1,0,rechts,0.6249575688123175,0.6085526315789473,0.0,7.5,5,0,0,1.0
kern_laag,1,4,0,0,0,0,1,1,0,2,3,2,0,midden,0.0,0.0,0.0,7.5,5,0,0,3.5425717574542346
kern_hoog,0,2,0,1,0,0,0,0,0,-3,1,1,0,midden,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,2.0
kern_hoog,1,2,0,0,1,0,0,0,1,3,2,1,0,midden,0.6579558513382042,0.6972477064220184,0.0,7.5,5,0,0,4.0
kern_hoog,0,4,0,1,0,0,0,0,1,-5,3,2,0,midden,0.0,0.0,1.0,7.5,5,0,0,2.0
kern_hoog,0,1,0,0,1,0,1,1,1,0,1,1,0,midden,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,3.6666666666666665
kern_hoog,0,3,0,0,1,0,0,1,1,-1,2,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,3.6666666666666665
kern_laag,0,2,1,0,0,0,0,0,1,1,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,1,3,0,0,1,0,0,0,0,-5,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,3.5425717574542346
kern_laag,0,4,0,0,0,0,0,0,1,4,3,2,0,midden,1.0,1.0,0.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,4,0,0,1,0,1,0,0,-4,4,2,0,midden,0.0,0.0,1.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,3,0,1,1,0,0,0,1,0,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,0,3,1,0,1,0,0,0,1,-1,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,2.7659574468085104
kern_hoog,1,3,1,0,1,0,1,1,0,-3,1,1,1,midden,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,3.86963742728715
kern_hoog,0,4,0,0,1,0,0,0,1,4,2,1,0,midden,0.6579558513382042,0.6972477064220184,0.0,7.5,5,0,0,5.0
kern_laag,0,1,0,0,1,0,0,0,1,-1,1,1,1,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,1,2,0,1,1,0,1,1,0,1,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,2.6666666666666665
kern_laag,0,3,0,1,1,0,0,0,1,-1,3,2,0,midden,1.0,1.0,0.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,4,0,0,1,0,0,0,0,-1,4,2,0,midden,0.0,0.0,1.0,7.5,5,0,0,2.6666666666666665
kern_laag,0,4,1,0,1,0,0,0,0,1,5,3,0,midden,1.0,1.0,0.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,2,0,0,1,1,0,0,1,0,1,1,1,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.0
kern_laag,0,2,0,0,1,0,0,0,1,-1,2,1,1,links,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,4.0
kern_laag,1,3,0,0,1,0,0,0,1,0,3,2,1,midden,1.0,1.0,1.0,7.5,5,0,0,3.0
kern_laag,0,4,0,0,1,0,0,0,1,-1,4,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,4.0
kern_hoog,1,1,1,0,1,0,0,0,1,1,1,1,0,links,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,3.6666666666666665
kern_hoog,1,2,0,0,1,0,0,0,1,3,2,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,3.6666666666666665
kern_hoog,0,3,0,0,1,0,1,1,0,-4,3,1,1,links,0.6579558513382042,0.6972477064220184,1.0,7.5,5,0,0,4.333333333333333
kern_hoog,0,3,0,1,1,0,0,0,1,-5,4,2,1,midden,0.0,0.0,0.0,7.5,5,0,0,4.333333333333333
kern_hoog,0,4,0,0,1,0,0,0,1,-5,5,3,1,midden,0.5,1.0,1.0,7.5,5,0,0,4.333333333333333
kern_hoog,0,4,0,0,1,1,0,1,0,-4,6,4,1,midden,0.6666666666666666,1.0,1.0,7.5,5,0,0,4.333333333333333
kern_laag,0,2,0,0,0,0,0,0,1,-2,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,4.333333333333333
kern_laag,0,2,0,0,0,0,0,0,1,1,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,1,2,0,0,1,0,1,0,1,-2,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,3,0,0,1,0,0,0,0,0,3,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,4,0,0,1,0,0,0,1,0,4,3,0,midden,0.5,0.0,0.0,7.5,5,0,0,3.5425717574542346
kern_hoog,0,2,0,0,1,0,0,0,1,0,1,1,1,midden,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,4.0
kern_hoog,0,3,0,1,1,0,0,0,1,-1,2,2,1,midden,1.0,1.0,1.0,7.5,5,0,0,4.0
kern_laag,0,2,0,0,1,0,0,0,1,1,1,1,1,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,4.0
kern_laag,0,1,0,0,0,0,0,0,1,1,1,1,0,rechts,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,4.0
kern_laag,0,3,0,0,0,0,0,0,1,2,2,2,0,rechts,1.0,1.0,1.0,7.5,5,0,0,4.0
kern_hoog,0,2,0,0,1,0,0,0,1,-1,1,1,0,rechts,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,3.86963742728715
kern_hoog,0,3,0,0,1,0,0,0,1,-1,2,2,0,rechts,1.0,1.0,1.0,7.5,5,0,0,3.86963742728715
kern_hoog,1,3,0,0,1,0,0,0,1,0,3,1,0,links,0.6579558513382042,0.6972477064220184,1.0,7.5,5,0,0,5.0
kern_hoog,0,4,0,0,1,0,0,0,1,-1,4,3,0,midden,1.0,1.0,1.0,7.5,5,0,0,3.86963742728715
kern_hoog,1,3,0,0,1,0,0,0,0,0,1,1,0,midden,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,3.3333333333333335
kern_hoog,1,3,0,0,1,0,0,0,1,0,2,2,0,midden,0.0,0.0,0.0,7.5,5,0,0,3.3333333333333335
kern_laag,0,1,0,0,1,0,1,1,0,0,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,0,2,0,0,1,0,0,0,1,0,2,2,0,midden,0.0,0.0,0.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,4,0,0,1,0,1,1,0,-1,3,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,3.0
kern_laag,1,3,0,1,1,0,0,0,1,2,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.6666666666666665
kern_laag,0,4,0,0,1,0,1,1,0,-3,2,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,3.6666666666666665
kern_laag,1,1,0,0,1,0,0,0,1,0,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.3333333333333335
kern_laag,0,4,1,0,1,0,0,0,1,-2,2,1,0,links,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,5.0
kern_laag,1,3,0,0,1,0,0,0,0,2,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.6666666666666665
kern_hoog,0,2,0,0,1,0,0,0,1,2,1,1,0,midden,0.6579558513382042,0.6972477064220184,0.6972477064220184,7.5,5,0,0,4.0
kern_hoog,1,3,1,0,1,0,0,0,1,-2,2,1,0,midden,0.6579558513382042,0.6972477064220184,1.0,7.5,5,0,0,4.0
kern_hoog,0,3,0,0,1,0,0,0,1,1,3,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,4.0
kern_hoog,1,4,0,0,1,0,0,0,1,-2,4,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,4.0
kern_hoog,0,4,1,0,1,0,0,0,1,4,5,3,0,midden,1.0,1.0,1.0,7.5,5,0,0,4.0
kern_laag,1,1,0,1,0,0,0,1,1,0,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,1,3,0,1,0,0,0,0,1,2,2,2,1,midden,1.0,1.0,1.0,7.5,5,0,0,3.5425717574542346
kern_laag,0,3,0,1,1,0,0,1,0,-4,3,1,0,midden,0.6249575688123175,0.6085526315789473,1.0,7.5,5,0,0,3.5425717574542346
kern_laag,1,4,1,0,0,0,0,0,1,4,4,3,1,midden,1.0,1.0,0.0,7.5,5,0,0,3.5425717574542346
kern_laag,0,2,0,0,1,0,0,0,0,1,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,4.2
kern_laag,1,3,1,1,1,0,0,1,1,0,2,1,0,links,0.6249575688123175,0.6085526315789473,0.0,7.5,5,0,0,5.0
kern_laag,0,3,0,0,1,0,0,0,1,-1,3,2,0,midden,0.0,0.0,1.0,7.5,5,0,0,4.2
kern_laag,1,4,0,0,1,0,0,1,1,-1,4,2,0,midden,1.0,1.0,1.0,7.5,5,0,0,5.0
kern_laag,1,3,0,0,1,0,1,1,0,2,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.5425717574542346
kern_laag,0,3,0,0,1,0,1,0,1,-2,2,1,0,rechts,0.6249575688123175,0.6085526315789473,0.0,7.5,5,0,0,5.0
kern_laag,1,1,0,0,0,0,0,1,0,0,1,1,0,midden,0.6249575688123175,0.6085526315789473,0.6085526315789473,7.5,5,0,0,3.0
kern_laag,1,2,0,0,1,0,1,0,0,0,2,2,0,midden,0.0,0.0,0.0,7.5,5,0,0,3.0
kern_laag,0,3,0,0,0,0,0,0,1,0,3,1,0,midden,0.6249575688123175,0.6085526315789473,0.0,7.5,5,0,0,4.0
